point_id,lon,lat,highway,itinerary_id,osrm_travel_distance
201,78.48282549999999,17.3362569,residential,1,552.0
836,78.48430615000001,17.33599515,residential,1,222.0
628,78.484111,17.3355266,residential,1,56.6
829,78.48582775,17.3357395,residential,1,226.1
344,78.4862005,17.335178749999997,residential,1,105.7
281,78.4870894,17.33569575,residential,1,152.3
62,78.48704905,17.3344405,residential,1,175.0
104,78.48580655,17.33632195,residential,1,394.8
956,78.49131969999999,17.33547845,residential,1,622.3
222,78.48984985,17.33358695,residential,1,409.5
904,78.48619465,17.331448899999998,residential,1,583.2
816,78.48506675,17.3306848,residential,1,228.9
120,78.48944610000001,17.3303187,residential,1,744.0
91,78.4910347,17.328620649999998,residential,1,362.1
823,78.4934019,17.32758185,residential,1,422.5
142,78.49343619999999,17.32646605,residential,1,160.8
912,78.4946154,17.32637685,residential,1,203.6
176,78.49479769999999,17.328307350000003,residential,1,287.0
408,78.49200625,17.325551949999998,residential,1,514.8
235,78.4919701,17.32481415,residential,1,101.0
347,78.4915137,17.324993550000002,residential,1,68.0
427,78.49146744999999,17.324879850000002,residential,1,13.9
133,78.490494,17.324238649999998,residential,1,296.9
575,78.48912625,17.3254362,residential,1,273.2
266,78.4865254,17.3233779,residential,1,480.1
544,78.48485905,17.3216466,residential,1,516.0
206,78.48321705000001,17.3218813,residential,1,290.8
117,78.484905,17.31757415,residential,1,583.9
685,78.48533585,17.317207250000003,residential,1,75.7
561,78.48951395,17.3193768,residential,1,993.4
451,78.49206455000001,17.321577650000002,residential,1,679.9
55,78.49173815,17.3225368,residential,1,111.8
465,78.49747124999999,17.32334935,residential,1,745.6
188,78.49839754999999,17.32159695,residential,1,217.5
486,78.4967992,17.3216251,residential,1,217.3
536,78.48694875,17.3281989,residential,1,1810.7
567,78.54278585,17.436807299999998,residential,2,
279,78.53812665,17.438040100000002,residential,2,623.4
743,78.5373448,17.4376926,residential,2,123.9
846,78.5353049,17.43100225,primary,2,1588.7
