lon,lat,highway,point_id,osrm_travel_distance,itinerary_id
76.97412510000001,28.68218865,residential,461,2268.0,16
76.97473690000001,28.6811067,residential,811,193.5,16
76.96277710000001,28.6900399,residential,447,2714.1,16
76.9694274,28.6938473,tertiary,990,1610.0,16
76.9740252,28.70502365,tertiary,710,2011.8,16
76.98882025,28.7044252,tertiary,889,1691.5,16
76.99121794999999,28.6992574,residential,408,816.7,16
76.99009434999999,28.6997031,residential,784,157.1,16
76.99936124999999,28.6963457,residential,304,1348.2,16
76.99793755,28.69384,residential,967,549.7,16
77.02755275,28.68941415,residential,758,3009.2,16
77.0264042,28.6872105,residential,910,914.8,16
77.03227179999999,28.69911395,residential,688,2147.9,16
77.03762,28.69864495,residential,779,1020.4,17
77.044107,28.7030535,residential,551,1074.3,17
77.0395027,28.70593965,residential,856,735.1,17
77.03848175,28.7092539,residential,974,550.6,17
77.0360527,28.70956855,residential,223,848.5,17
77.0364161,28.70947035,residential,171,37.1,17
77.03068065,28.70975365,residential,860,598.0,17
77.02873070000001,28.7130185,residential,804,557.1,17
77.02885885,28.72783865,residential,456,2031.2,17
77.02598065000001,28.72720745,residential,535,355.3,17
77.0311242,28.7292736,residential,82,845.0,17
77.0303845,28.73447755,residential,474,742.9,17
77.02845199999999,28.73768115,residential,702,472.9,17
77.04389055,28.72821905,residential,376,2364.7,17
77.04252485,28.721506849999997,residential,500,867.9,17
77.0504186,28.720694,residential,786,850.9,17
77.04909445,28.72676815,residential,933,946.7,17
77.05350345,28.73454735,residential,313,1479.0,17
77.05566685,28.74018685,residential,837,933.8,17
77.0543396,28.74193385,residential,389,460.9,17
77.05564964999999,28.74563155,residential,240,848.4,17
77.05816585,28.745913,residential,59,345.0,17
77.06118355000001,28.75261845,unclassified,364,980.6,17
77.06349265,28.7536699,residential,174,984.5,18
77.0649491,28.7563641,residential,736,469.0,18
77.07765814999999,28.751151049999997,residential,562,1718.4,18
77.07745729999999,28.74638865,residential,241,679.7,18
77.0761098,28.7587243,tertiary,622,1632.9,18
77.07708615,28.759646,tertiary,976,212.2,18
77.07601125,28.772002200000003,residential,320,1849.1,18
77.08672295,28.77425305,tertiary,53,2599.2,18
77.1001488,28.77304225,residential,377,1809.0,18
77.10001869999999,28.772855049999997,residential,907,24.3,18
77.09907615,28.77109395,residential,71,267.0,18
77.08943905000001,28.7807443,residential,396,1766.3,18
77.08587059999999,28.79201415,tertiary,530,3281.5,18
77.09669364999999,28.8154355,residential,743,4031.5,19
77.0751482,28.81243155,residential,45,3039.3,19
77.07297695,28.81383815,residential,90,311.8,19
77.0729012,28.8169808,residential,35,426.7,19
77.08265245,28.82224565,residential,123,2013.0,19
77.07868005,28.8389531,residential,308,2760.2,19
77.07876315,28.8404988,residential,355,173.6,19
77.0796473,28.8414433,residential,631,192.2,19
77.0842987,28.843108,residential,83,648.0,19
77.08250515,28.84599055,residential,537,500.6,19
77.07907635000001,28.85244415,residential,831,1155.3,19
77.07507515,28.8548125,residential,793,712.4,19
77.0720861,28.8522524,residential,984,598.3,19
77.08695895,28.8542565,residential,635,2177.3,19
77.0902806,28.8543052,residential,847,692.6,19
77.0942261,28.85252575,tertiary,392,709.5,20
77.0937438,28.8505167,residential,481,249.9,20
