itinerary_id,part,google_maps_url
14,1,"https://www.google.com/maps/dir/19.0311098,72.8562524/19.0301189,72.8566061/19.0300728,72.8568129/19.029275,72.8572359/19.0305698,72.8573228/19.0269659,72.8525219/19.026315,72.8523818/19.026087,72.8516943/19.0244706,72.8515848/19.0226332,72.8497808/19.0232688,72.8495287/19.0213719,72.84715475/19.0207641,72.8486022/19.0183887,72.8468531/19.0192229,72.8455885/19.0202232,72.8440393/19.0192683,72.8456217/19.0179501,72.8474218/19.0163808,72.8465268/19.0173162,72.8445921"
14,2,"https://www.google.com/maps/dir/19.017284,72.8446926/19.0158662,72.8441076/19.013576,72.8424749/19.0130223,72.8423479/19.0087076,72.8428243/19.0079282,72.8443818/19.0059077,72.8461926/19.0067338,72.8474209/19.0073576,72.8481826/19.0090654,72.8468368/19.0122976,72.8480656/19.0126612,72.8492391/19.0123975,72.8498799/19.0155149,72.851424/19.0154733,72.8514662/19.0157736,72.850998/19.0162331,72.8513219/19.0163637,72.8534426/19.0182841,72.8565579/19.018349,72.8566442"
14,3,"https://www.google.com/maps/dir/19.0187604,72.8558944/19.018825,72.8559198/19.0185257,72.8547683/19.0191317,72.854081/19.0185405,72.8521372/19.023085,72.854503/19.0237821,72.8527846/19.0213629,72.8567343/19.0195821,72.8563519"
15,1,"https://www.google.com/maps/dir/19.0169058,72.8588252/19.0132365,72.8550803/19.0132365,72.8550803/19.0131868,72.8551842/19.0131868,72.8551842/19.0136781,72.854281/19.0112742,72.8544552/19.0112603,72.8545247/19.0112603,72.8545247/19.0106609,72.8550701/19.0048292,72.8540217/19.0048265,72.8541276/19.0048338,72.8538765/19.0037899,72.8532066/19.0004287,72.8522834/19.0005127,72.8537178/18.999803,72.8541559/19.0007459,72.855478/19.0015503,72.8576573/19.0016221,72.858128"
15,2,"https://www.google.com/maps/dir/19.0009441,72.8600889/18.9999894,72.8593171/19.004630650000003,72.85830235/19.0085434,72.8608733/19.0099438,72.86530690000001/19.0152196,72.863894/19.0172598,72.8649281/19.0173565,72.8650815/19.0183959,72.8637398/19.0184091,72.8636587/19.0184511,72.863688/19.0186494,72.8636284/19.0222672,72.8636932/19.0223352,72.866017/19.0220517,72.8663948/19.018159,72.8673947/19.0187777,72.87080470000001/19.0211904,72.8722608/19.0255203,72.8712443/19.02584,72.8684572"
15,3,"https://www.google.com/maps/dir/19.0257301,72.8701904/19.0267965,72.8699419/19.0278364,72.8693035/19.02736,72.8692529/19.0276913,72.8701621/19.0286668,72.8680995/19.0294946,72.8682391/19.0277242,72.8676384/19.0273348,72.8671056/19.0253207,72.8688777/19.024085,72.8707325"
16,1,"https://www.google.com/maps/dir/19.029516,72.8666811/19.030263,72.8657088/19.0319747,72.8669697/19.032017,72.8670411/19.0328042,72.8661283/19.0324063,72.8650326/19.0313958,72.8627656/19.0295315,72.8632327/19.0287027,72.8625239/19.0289088,72.8611665/19.025442,72.8626463/19.0251632,72.8625525/19.0329943,72.870115/19.0360254,72.8678765/19.037448,72.8664109/19.0372459,72.8658939/19.0368779,72.8655834/19.0374469,72.865169/19.037553,72.8632268/19.0375056,72.8636864"
16,2,"https://www.google.com/maps/dir/19.0375688,72.8626929/19.0363763,72.8623066/19.0389832,72.8623232/19.0392776,72.8629157/19.0411426,72.8641604/19.0420702,72.8643402/19.0420702,72.8643402/19.0421849,72.8641383/19.0429387,72.8638728/19.0444178,72.8644135/19.0444178,72.8644135/19.04432,72.8646392/19.0439542,72.8623171/19.0455683,72.8636984/19.0456379,72.8637649/19.0460334,72.8653562/19.045317,72.8650804/19.0447596,72.8678433/19.0446117,72.8677359/19.040919,72.8656856"
16,3,"https://www.google.com/maps/dir/19.0442683,72.8676762/19.0397672,72.8671608/19.0392861,72.8678609/19.0389777,72.8682434/19.0384055,72.8686141/19.03703,72.8721535/19.0372057,72.8721455/19.0379017,72.8713583/19.0366317,72.8732014/19.0367749,72.8743558/19.0344139,72.8742405/19.0394893,72.8663985/19.0398372,72.8694086/19.0389947,72.8692646"
17,1,"https://www.google.com/maps/dir/19.041284,72.8701195/19.0430913,72.8709983/19.0430582,72.8714261/19.043450999999997,72.87161185/19.0438043,72.8729747/19.0412806,72.8725123/19.0425757,72.8617382/19.0501056,72.8664725/19.047121,72.865576/19.0356261,72.851299/19.0369416,72.849942/19.03863,72.8498687/19.0393733,72.8491209/19.0381016,72.8537106/19.0436839,72.8486802/19.0433125,72.8496433/19.0427382,72.851015/19.0458141,72.8482083/19.0450859,72.845594/19.0449391,72.8451549"
17,2,"https://www.google.com/maps/dir/19.046054,72.8438297/19.0448268,72.8406848/19.0450217,72.845128/19.0468125,72.8518565/19.0460446,72.8494632/19.040894299999998,72.85123895000001/19.0436768,72.8485447/19.0436739,72.8485032/19.0436768,72.8485447"
18,1,"https://www.google.com/maps/dir/19.0432047,72.8602834/19.0480519,72.8598568/19.0480519,72.8598568/19.0464865,72.8572576/19.0483277,72.8637857/19.0504642,72.8652466/19.0504592,72.8613615/19.0502831,72.8613264/19.0511388,72.8625281/19.0455982,72.8563929/19.0351547,72.8477514/19.036563,72.8463315/19.0375592,72.8463834/19.0381066,72.8452152/19.0341889,72.8423352/19.0212303,72.8428459/19.0210296,72.8421558/19.0215258,72.8421895/19.0206405,72.8427242/19.0208053,72.8428116"
18,2,"https://www.google.com/maps/dir/19.0204509,72.8410237/19.0239617,72.8338155/19.0239119,72.8338979"
19,1,"https://www.google.com/maps/dir/19.0116104,72.8288705/19.0102584,72.829085/19.0101152,72.8296735/19.0183159,72.8309172/19.0056771,72.8390708/19.0060034,72.8390095/19.0052722,72.8398994/19.0060377,72.8413272/19.0052909,72.844255/19.0035706,72.8420403/19.0035009,72.8419782/19.0017593,72.8408002/19.0005166,72.8397132/19.0006413,72.8387646/19.0000024,72.8378425/18.9982595,72.839042/18.9986656,72.8394659/18.9981413,72.8409813/18.998027,72.840296/18.9980845,72.840429"
19,2,"https://www.google.com/maps/dir/18.9994981,72.8419784/19.0019954,72.8435978/19.0004961,72.8463274/19.0004961,72.8463274/18.9989091,72.8451939/19.0026277,72.8494011/18.9990342,72.851178/18.9981974,72.8528524/18.9962504,72.8528017/18.996024,72.8528818/19.0002856,72.8509433/18.9953987,72.8534754/18.9952726,72.853411/18.9907657,72.851199/18.984636350000002,72.84837289999999"
20,1,"https://www.google.com/maps/dir/18.9952837,72.8532732/19.0005817,72.8538537/19.0095279,72.8540022/19.0099514,72.8536357/19.0258931,72.8495499/19.0283746,72.8516929/19.0178967,72.8731878/19.0177434,72.8730507/19.031298,72.8697435/19.0316931,72.869798/19.0074947,72.8564023/19.0104428,72.8599144"
21,1,"https://www.google.com/maps/dir/18.9895061,72.8462975/18.9884298,72.8452782/18.9915508,72.845472/18.9943602,72.8448336/18.9961889,72.8446113/18.9952747,72.8444287/18.9937605,72.8447816/18.9949779,72.8386561/18.9954077,72.8365453/18.9952023,72.834768/18.994018,72.8343606/18.9941696,72.8364271/18.9941323,72.8369882/18.9931662,72.8369181/18.9931662,72.8369181/18.9950665,72.8332119/18.9969939,72.8322718/18.9982518,72.8270408/18.9964009,72.8280633/18.9979502,72.831089"
21,2,"https://www.google.com/maps/dir/18.9959129,72.8261077/19.0012934,72.8291362/19.0012277,72.8291021/19.0004037,72.8286485/18.9915452,72.8174086/18.992898,72.8204407"
