video_id,source_folder,video_name,original_video_filename,frame_filename,frame_number,timestamp_sec,timestamp_display,video_fps,video_duration_sec,md5_hash
day_11_6_2026_GX012534,day_11_6_2026,GX012534,GX012534.MP4,day_11_6_2026_GX012534_frame000000.jpg,0,0.0,0:00:00,100.0,29.76,af69e54a7cdc63eda3bd2699904295dd
day_11_6_2026_GX012535,day_11_6_2026,GX012535,GX012535.MP4,day_11_6_2026_GX012535_frame000000.jpg,0,0.0,0:00:00,100.0,809.39,1c0422ae6a958fb33cb036062f52d76b
day_11_6_2026_GX012535,day_11_6_2026,GX012535,GX012535.MP4,day_11_6_2026_GX012535_frame000001.jpg,12000,120.0,0:02:00,100.0,809.39,3a0d04c129d638f6bb21102d45ccde8c
day_11_6_2026_GX012535,day_11_6_2026,GX012535,GX012535.MP4,day_11_6_2026_GX012535_frame000002.jpg,24000,240.0,0:04:00,100.0,809.39,895ec30a03be671c9446439fce566110
day_11_6_2026_GX012535,day_11_6_2026,GX012535,GX012535.MP4,day_11_6_2026_GX012535_frame000003.jpg,36000,360.0,0:06:00,100.0,809.39,b7c995cdfe8e949756ea96f8a658eab3
day_11_6_2026_GX012535,day_11_6_2026,GX012535,GX012535.MP4,day_11_6_2026_GX012535_frame000004.jpg,48000,480.0,0:08:00,100.0,809.39,f0e06035ddc84dc397562b9994fe1688
day_11_6_2026_GX012535,day_11_6_2026,GX012535,GX012535.MP4,day_11_6_2026_GX012535_frame000005.jpg,60000,600.0,0:10:00,100.0,809.39,477881ce34466e4e3a4686e9b9c7d85d
day_11_6_2026_GX012535,day_11_6_2026,GX012535,GX012535.MP4,day_11_6_2026_GX012535_frame000006.jpg,72000,720.0,0:12:00,100.0,809.39,28db3c92c955f800b7a2fe5b8b128be7
day_11_6_2026_GX012536,day_11_6_2026,GX012536,GX012536.MP4,day_11_6_2026_GX012536_frame000000.jpg,0,0.0,0:00:00,100.0,51.12,670df324ee2e17f90cbf2fada9ed976c
day_11_6_2026_GX012537,day_11_6_2026,GX012537,GX012537.MP4,day_11_6_2026_GX012537_frame000000.jpg,0,0.0,0:00:00,100.0,460.032,30b2bbdca1405d33f49a82681b38d444
day_11_6_2026_GX012537,day_11_6_2026,GX012537,GX012537.MP4,day_11_6_2026_GX012537_frame000001.jpg,12000,120.0,0:02:00,100.0,460.032,7618d403a94e39a337854c556d6fb331
day_11_6_2026_GX012537,day_11_6_2026,GX012537,GX012537.MP4,day_11_6_2026_GX012537_frame000002.jpg,24000,240.0,0:04:00,100.0,460.032,aca0d4231214390c0c712f96657f6fd2
day_11_6_2026_GX012537,day_11_6_2026,GX012537,GX012537.MP4,day_11_6_2026_GX012537_frame000003.jpg,36000,360.0,0:06:00,100.0,460.032,4f35399886074ce7b612255b85c8d96e
day_11_6_2026_GX012538,day_11_6_2026,GX012538,GX012538.MP4,day_11_6_2026_GX012538_frame000000.jpg,0,0.0,0:00:00,100.0,252.885333,bb9e2374b9fb87f26580200ac34a2597
day_11_6_2026_GX012538,day_11_6_2026,GX012538,GX012538.MP4,day_11_6_2026_GX012538_frame000001.jpg,12000,120.0,0:02:00,100.0,252.885333,718fbc3431c603541a71aabbedd3d20d
day_11_6_2026_GX012538,day_11_6_2026,GX012538,GX012538.MP4,day_11_6_2026_GX012538_frame000002.jpg,24000,240.0,0:04:00,100.0,252.885333,2d0cb7b74a86d138317ca7efed77b16b
day_11_6_2026_GX012539,day_11_6_2026,GX012539,GX012539.MP4,day_11_6_2026_GX012539_frame000000.jpg,0,0.0,0:00:00,100.0,51.733333,dab8fe7bd5ff71306681ecbe81f78425
day_11_6_2026_GX012540,day_11_6_2026,GX012540,GX012540.MP4,day_11_6_2026_GX012540_frame000000.jpg,0,0.0,0:00:00,100.0,253.312,028326c128b4b2b71689488d7a64cd2e
day_11_6_2026_GX012540,day_11_6_2026,GX012540,GX012540.MP4,day_11_6_2026_GX012540_frame000001.jpg,12000,120.0,0:02:00,100.0,253.312,14132257d9dff265773313ec57c660e1
day_11_6_2026_GX012540,day_11_6_2026,GX012540,GX012540.MP4,day_11_6_2026_GX012540_frame000002.jpg,24000,240.0,0:04:00,100.0,253.312,db9d63b636efbaed7d4fbf8f7acb6b8b
